"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.712272275896803E9,"2024-04-04 19:11:15.897 UTC-04:00"
"PAUSE",1.506096385417040E2,1.712272426505651E9,"2024-04-04 19:13:46.506 UTC-04:00"
