"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.063571667E-1,2.069703841E-1,3.427020934E-1,-1.949286282E0,1.989974491E0
6.164101667E-1,5.989522263E-3,4.285538372E-1,-1.616517731E0,1.672370725E0
6.264631667E-1,-4.436728366E-2,3.645651251E-1,-9.855996537E-1,1.051799821E0
6.365161667E-1,1.187948106E-1,6.988539523E-1,2.845489025E-1,7.638567481E-1
6.465681667E-1,-1.200225797E-1,7.096856269E-1,8.271459568E-1,1.096462285E0
6.566211667E-1,-5.433691791E-1,3.999744013E-1,1.519748651E0,1.662788486E0
6.666741667E-1,-1.200964301E0,-6.950234413E-2,2.371185111E0,2.658884100E0
6.767271667E-1,-2.438587135E0,-5.970483729E-1,3.175072598E0,4.047747519E0
6.867801667E-1,-3.593641437E0,-1.401106599E0,4.141309782E0,5.659311371E0
6.968331667E-1,-1.296111217E0,-8.891159177E-2,6.863821337E0,6.985689150E0
7.068861667E-1,6.006947697E-1,1.433789026E0,9.092557749E0,9.224488690E0
7.169391667E-1,1.384207122E0,2.646604756E0,1.052060276E1,1.093634439E1
7.269921667E-1,5.414549468E-1,2.364687977E0,1.033158099E1,1.061256277E1
7.370451667E-1,-7.270347543E-2,2.242389369E0,9.955345409E0,1.020502318E1
7.470981667E-1,-2.697838242E-1,1.907264974E0,9.630444871E0,9.821197046E0
7.571511667E-1,-4.219375665E-1,1.321954887E0,9.448709900E0,9.550063603E0
7.672041667E-1,-2.231543807E-1,9.869807661E-3,1.140835745E1,1.141054403E1
7.772571667E-1,-9.143455569E-1,-3.118210472E-1,7.148596526E0,7.213576953E0
7.873101667E-1,-1.212025552E0,5.827647945E-1,5.734360882E0,5.889950379E0
7.973631667E-1,-2.281927072E-1,1.644679091E0,9.446473925E0,9.591293492E0
8.074161667E-1,1.487767378E-1,1.078032877E0,1.124561774E1,1.129815064E1
8.174691667E-1,5.394545778E-1,5.628623343E-1,9.421049647E0,9.453253498E0
8.275221667E-1,2.753422970E-1,9.112792039E-1,7.126249638E0,7.189553329E0
8.375751667E-1,3.104788189E-1,1.430363581E0,6.035337537E0,6.210284716E0
8.476281667E-1,6.290435330E-1,1.888029097E0,4.831108736E0,5.224936483E0
