"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.124850833E-1,2.457000894E0,-1.093858220E0,-3.257373328E0,4.224199356E0
6.225380833E-1,2.579043102E0,-1.460455838E0,-3.530284517E0,4.609479726E0
6.325910833E-1,2.516041692E0,-1.648487383E0,-3.814718814E0,4.857988892E0
6.426440833E-1,2.620882854E0,-1.786079383E0,-3.756035573E0,4.915985122E0
6.526970833E-1,2.775610705E0,-1.827598123E0,-3.457239345E0,4.795480536E0
6.627500833E-1,2.831021844E0,-1.576367240E0,-2.647579486E0,4.184411009E0
6.728030833E-1,3.216746873E0,-1.310977617E0,-1.209301845E0,3.678115511E0
6.828570833E-1,3.406845994E0,-1.011889320E0,-2.970870870E-1,3.566339911E0
6.929100833E-1,3.032032746E0,-1.046046707E0,3.203274304E-1,3.223359420E0
7.029630833E-1,2.704178195E0,-1.539136556E0,1.130139316E0,3.310398152E0
7.130160833E-1,2.579254187E0,-1.839810910E0,1.912184529E0,3.700527803E0
7.230690833E-1,2.489912240E0,-1.845474231E0,2.750499837E0,4.143752822E0
7.331220833E-1,2.313097116E0,-1.767318592E0,3.437652342E0,4.504585097E0
7.431750833E-1,2.254802715E0,-1.520291565E0,4.184770966E0,4.990764447E0
7.532280833E-1,2.074949378E0,-1.117962197E0,5.198393401E0,5.707762114E0
7.632810833E-1,8.138903189E-1,-7.261163029E-1,4.683086472E0,4.808426066E0
7.733340833E-1,1.643886209E-1,-2.996926063E-1,5.398302687E0,5.409113715E0
7.833880833E-1,1.161714866E0,1.810026070E-1,7.883207957E0,7.970402189E0
7.934410833E-1,9.998235905E-1,7.981390893E-2,7.601382687E0,7.667270455E0
8.034940833E-1,4.395620978E-1,-3.191948247E-1,6.806228601E0,6.827872871E0
8.135470833E-1,1.109860003E-2,-1.036559015E0,6.072528752E0,6.160372003E0
8.236000833E-1,2.957059747E-1,-2.099148957E0,5.682300782E0,6.064850414E0
8.336530833E-1,5.017156613E-1,-2.646673460E0,5.472291015E0,6.099390787E0
8.437060833E-1,1.264570312E0,-9.796106431E-1,4.381638531E0,4.664496897E0
8.537590833E-1,1.948261850E0,-2.287451228E-1,2.788524281E0,3.409386489E0
8.638120833E-1,2.006732837E0,-1.016274732E0,1.542622374E0,2.727540063E0
8.738650833E-1,1.645162071E0,-1.240534748E0,8.509017321E-1,2.229241678E0
8.839180833E-1,1.267716699E0,-6.584532005E-1,1.039094953E0,1.766461029E0
8.939710833E-1,1.451552575E0,3.452093795E-1,1.874289894E0,2.395649599E0
9.040250833E-1,1.734933203E0,1.527045684E0,3.120853706E0,3.883502233E0
9.140780833E-1,1.363743768E0,1.999573068E0,4.680851081E0,5.269578385E0
9.241310833E-1,6.604511940E-1,1.761394778E0,5.697880104E0,6.000378740E0
9.341840833E-1,1.039903915E-1,1.279779944E0,5.878450894E0,6.017045422E0
9.442370833E-1,-4.158294189E-1,9.787348764E-1,5.856851864E0,5.952608657E0
9.542900833E-1,-1.196825057E0,1.154476451E0,6.011510718E0,6.237264401E0
9.643430833E-1,-1.675534848E0,1.784856292E0,5.876469272E0,6.366005036E0
9.743960833E-1,-1.715038637E0,2.414895679E0,6.067454538E0,6.751820735E0
9.844490833E-1,-1.929170691E0,2.915607081E0,6.811534950E0,7.656335453E0
9.945020833E-1,-1.981248332E0,3.172989820E0,7.236203604E0,8.145910137E0
1.004555083E0,-1.888581659E0,3.316072356E0,7.018890080E0,7.989236166E0
1.014609083E0,-1.650254411E0,3.548347443E0,6.529982745E0,7.612803941E0
1.024662083E0,-1.408481984E0,3.583014708E0,6.205128400E0,7.302426608E0
1.034715083E0,-1.205163771E0,3.319959000E0,5.975415856E0,6.941191694E0
1.044768083E0,-8.563177156E-1,2.993256351E0,5.829405034E0,6.608693264E0
1.054821083E0,-4.108949536E-1,2.516530227E0,5.668859788E0,6.215925542E0
1.064874083E0,-5.032230735E-2,1.816885585E0,5.404981962E0,5.702406121E0
1.074927083E0,3.350214833E-1,1.101761317E0,5.158259282E0,5.285239466E0
1.084980083E0,7.932256740E-1,3.563880864E-1,4.721745630E0,4.801156239E0
1.095033083E0,1.263717788E0,-4.432728870E-1,4.080289409E0,4.294442357E0
1.105086083E0,1.702741942E0,-1.227783725E0,3.436542248E0,4.026984681E0
1.115140083E0,2.112829980E0,-2.067585687E0,2.789354585E0,4.064413870E0
1.125193083E0,2.362534740E0,-2.779134822E0,2.189550127E0,4.254326094E0
1.135246083E0,2.532063648E0,-3.312080462E0,1.421794632E0,4.404852243E0
1.145299083E0,2.539045808E0,-3.919693877E0,8.225803046E-1,4.742087310E0
1.155352083E0,2.029187315E0,-4.384012501E0,-9.795416459E-1,4.929165102E0
1.165405083E0,2.017840793E0,-4.928557262E0,-4.142785911E-1,5.341721156E0
1.175458083E0,2.407386977E0,-5.509229046E0,1.131855328E0,6.117860183E0
1.185511083E0,2.324743600E0,-5.866288685E0,1.216692726E0,6.426361096E0
1.195564083E0,2.004968732E0,-5.780031145E0,1.036551560E0,6.205086525E0
1.205617083E0,1.861207919E0,-5.555869946E0,9.550497061E-1,5.936657790E0
1.215671083E0,1.736382728E0,-5.444389272E0,1.046633475E0,5.809633478E0
1.225724083E0,1.772937182E0,-5.370223188E0,1.092263977E0,5.759830200E0
1.235777083E0,1.758259501E0,-5.297518909E0,1.003774408E0,5.671220867E0
1.245830083E0,1.523330070E0,-5.283799587E0,8.244642775E-1,5.560468858E0
1.255883083E0,1.023394886E0,-5.526697018E0,6.170057970E-1,5.654415370E0
1.265936083E0,3.013432753E-1,-6.083458368E0,3.728558922E-1,6.102318821E0
1.275989083E0,-4.756587142E-1,-6.586100228E0,2.127357388E-1,6.606680249E0
1.286042083E0,-9.194313920E-1,-6.647945643E0,2.769754426E-1,6.716937602E0
1.296095083E0,-7.336501479E-1,-6.187591431E0,4.183407980E-1,6.244961111E0
1.306148083E0,-1.458096778E-1,-5.295946008E0,6.508822256E-1,5.337785332E0
1.316202083E0,3.481981838E-1,-4.393154330E0,8.200467061E-1,4.482580010E0
1.326255083E0,4.150476462E-1,-3.857399395E0,1.008977845E0,4.008719363E0
1.336308083E0,1.484917957E-1,-3.662584788E0,1.307530391E0,3.891813570E0
1.346361083E0,-1.961606365E-1,-3.710231701E0,1.536581615E0,4.020619521E0
1.356414083E0,-2.850611186E-1,-3.778606995E0,1.600661105E0,4.113544291E0
1.366467083E0,-2.572985387E-1,-4.025986317E0,1.282161076E0,4.233049183E0
1.376520083E0,-3.608328474E-1,-4.564373668E0,1.075773075E0,4.703296188E0
1.386573083E0,-5.377988291E-1,-5.321945068E0,8.238656688E-1,5.412123569E0
1.396626083E0,-6.406940371E-1,-6.117782693E0,3.462012134E-1,6.160974696E0
1.406679083E0,-1.232604754E0,-6.859523633E0,-1.096803170E-1,6.970251697E0
1.416732083E0,-1.884633034E0,-7.196248410E0,-4.239057393E-1,7.451008585E0
1.426786083E0,-2.351563609E0,-6.857864778E0,-9.012640929E-1,7.305644235E0
1.436839083E0,-2.763359034E0,-6.101550238E0,-1.246797701E0,6.813191100E0
1.446892083E0,-3.022884192E0,-5.061434069E0,-1.320488405E0,6.041492638E0
1.456945083E0,-3.121015674E0,-3.818268659E0,-1.054947778E0,5.043097183E0
1.466998083E0,-3.076824172E0,-2.639460043E0,-5.235300149E-1,4.087502903E0
1.477051083E0,-2.764297512E0,-1.774507744E0,2.265898392E-2,3.284924946E0
1.487104083E0,-2.606394038E0,-1.484203427E0,4.803709853E-1,3.037582259E0
1.497157083E0,-2.691767480E0,-1.425764015E0,8.794497393E-1,3.170464798E0
1.507210083E0,-2.895697896E0,-1.284767765E0,1.147403659E0,3.369307002E0
1.517263083E0,-3.025537659E0,-1.042352436E0,1.251224043E0,3.435977056E0
