"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.322349582E-1,5.408955730E0,-6.016736374E0,-2.724383833E0,8.536989279E0
6.422899583E-1,5.079641714E0,-5.395308913E0,-1.690537634E0,7.600660214E0
6.523439583E-1,4.246716954E0,-4.621429921E0,-5.318416858E-1,6.298815363E0
6.623979583E-1,2.754205803E0,-3.888130606E0,6.132828748E-1,4.804094618E0
6.724529583E-1,1.509465591E0,-3.479786208E0,2.223498477E0,4.396742419E0
6.825069583E-1,5.770877329E-1,-3.097279487E0,3.613640084E0,4.794222057E0
6.925609583E-1,-2.395632027E-1,-2.503174894E0,3.650281076E0,4.432586944E0
7.026159583E-1,-6.816875504E-1,-1.740963437E0,2.488698943E0,3.112759874E0
7.126699582E-1,5.851007572E-1,-3.506820810E-1,1.651746036E0,1.787060655E0
7.227239583E-1,2.160599978E0,1.016052538E0,1.692495282E0,2.926618407E0
7.327789583E-1,3.042516219E0,1.878112219E0,1.417512424E0,3.846238672E0
7.428329582E-1,3.454776497E0,2.778956482E0,8.039956605E-1,4.506050244E0
7.528869583E-1,3.224360240E0,3.723412787E0,5.592159740E-1,4.957118543E0
7.629419583E-1,2.604791024E0,4.506788242E0,2.966807055E-1,5.213836973E0
7.729959583E-1,1.822640415E0,4.713676765E0,1.120373297E-1,5.055029089E0
7.830499583E-1,1.104996874E0,4.431969609E0,2.101641333E-1,4.572476536E0
7.931049583E-1,8.568756862E-1,4.120277932E0,9.709862924E-1,4.318997633E0
8.031589583E-1,5.174917415E-1,3.457966154E0,1.471003922E0,3.793307285E0
8.132129583E-1,2.410032257E-2,2.580224825E0,1.138785082E0,2.820456069E0
8.232679582E-1,-9.499450868E-1,1.648966269E0,6.373933569E-1,2.006926934E0
8.333219583E-1,-1.699169440E0,8.892199981E-1,4.592203637E-1,1.971997042E0
8.433759583E-1,-2.142600933E0,7.989284635E-2,2.398469388E-1,2.157463366E0
8.534309582E-1,-2.550977637E0,-5.966159713E-1,-2.016516837E-1,2.627565588E0
8.634849583E-1,-2.801558602E0,-8.741388595E-1,-4.144260871E-1,2.963882306E0
8.735389583E-1,-2.985918680E0,-8.059375209E-1,-4.508389648E-1,3.125460194E0
8.835939583E-1,-3.228946796E0,-3.555510575E-1,-6.889341509E-1,3.320714416E0
8.936479583E-1,-2.976252648E0,-1.710725731E-1,-1.066947141E0,3.166342030E0
9.037019582E-1,-2.215129649E0,-4.027813572E-1,-6.790345225E-1,2.351620732E0
9.137569583E-1,-1.418661840E0,-9.111698610E-1,-2.806181118E-2,1.686303472E0
9.238109583E-1,-5.700064623E-1,-1.823517351E0,7.691613118E-1,2.059546557E0
9.338649582E-1,8.031231098E-2,-2.466521038E0,1.117510500E0,2.709059951E0
9.439199583E-1,7.380433072E-1,-2.520552819E0,9.068152933E-1,2.778526303E0
9.539739583E-1,6.991157614E-1,-2.428207743E0,5.962427728E-1,2.596239807E0
9.640279582E-1,-5.881045450E-1,-2.019685589E0,9.105528335E-1,2.292183085E0
9.740829583E-1,-1.198216109E0,-1.092476816E0,1.360601328E0,2.116710516E0
9.841369583E-1,-1.344346799E0,-3.202584332E-1,1.409819827E0,1.974189891E0
9.941909583E-1,-1.489553044E0,2.792016238E-1,1.115193833E0,1.881589515E0
1.004245958E0,-1.300819834E0,7.141929531E-1,6.460693824E-1,1.618520763E0
1.014299958E0,-6.376833788E-1,8.544729191E-1,6.960189298E-2,1.068460802E0
1.024353958E0,5.699193388E-2,6.756814367E-1,-3.192837024E-1,7.494902047E-1
1.034408958E0,6.128177288E-1,4.409122199E-1,-4.192010696E-1,8.635268908E-1
1.044462958E0,9.866344647E-1,2.630843586E-1,-2.970220368E-1,1.063429846E0
1.054516958E0,1.200239538E0,1.284481251E-1,-1.259431779E-1,1.213645564E0
1.064571958E0,1.395577472E0,5.708870530E-2,4.038423344E-2,1.397328339E0
1.074625958E0,1.549618275E0,5.537196279E-2,2.901201296E-1,1.577514672E0
1.084679958E0,1.699495861E0,9.765727222E-2,5.160425091E-1,1.778798188E0
1.094734958E0,1.831463717E0,1.770221150E-1,5.966861379E-1,1.934329477E0
1.104788958E0,1.920677025E0,2.626551729E-1,4.902797500E-1,1.999590510E0
1.114842958E0,1.914915471E0,2.754921502E-1,2.459012921E-1,1.950196050E0
1.124897958E0,1.812014270E0,2.290904009E-1,-4.062872015E-2,1.826890478E0
1.134951958E0,1.466566032E0,1.114993858E-1,-1.598147826E-1,1.479455577E0
1.145005958E0,1.007277182E0,3.743796766E-2,-9.451899849E-2,1.012394570E0
1.155060958E0,5.566973224E-1,2.456590712E-2,3.980915979E-2,5.586592537E-1
