"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.712268890819437E9,"2024-04-04 18:14:50.819 UTC-04:00"
"PAUSE",1.506089659583522E2,1.712269041428835E9,"2024-04-04 18:17:21.429 UTC-04:00"
