"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710287474924875E9,"2024-03-12 19:51:14.925 UTC-04:00"
"PAUSE",1.505721085834084E2,1.710287625496731E9,"2024-03-12 19:53:45.497 UTC-04:00"
