"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710287098936755E9,"2024-03-12 19:44:58.937 UTC-04:00"
"PAUSE",1.507437212916557E2,1.710287249680224E9,"2024-03-12 19:47:29.680 UTC-04:00"
