"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.712268557507206E9,"2024-04-04 18:09:17.507 UTC-04:00"
"PAUSE",1.500057344583329E2,1.712268707512874E9,"2024-04-04 18:11:47.513 UTC-04:00"
