"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.031815833E-1,-3.835774930E-1,2.680395815E-1,1.149872500E-1,4.818702917E-1
6.132345833E-1,-2.837469569E-1,1.935856690E-1,2.190010303E-1,4.073686267E-1
6.232875834E-1,-1.294013675E-1,1.597944635E-1,4.039864683E-1,4.533034867E-1
6.333405834E-1,3.593121327E-2,1.564574575E-1,4.787524760E-1,5.049494246E-1
6.433945834E-1,1.648735012E-1,1.588197327E-1,4.684777486E-1,5.214195814E-1
6.534475833E-1,2.745994265E-1,2.174405546E-1,4.440954441E-1,5.656023367E-1
6.635005833E-1,3.245010267E-1,3.154993844E-1,3.736166149E-1,5.868817196E-1
6.735535833E-1,2.400565615E-1,4.343567602E-1,2.633369583E-1,5.618178544E-1
6.836075833E-1,1.056385023E-1,5.475956927E-1,1.145656657E-1,5.693380609E-1
6.936605833E-1,-2.098784968E-3,6.725580002E-1,1.814157128E-2,6.728059045E-1
7.037135834E-1,-9.615271054E-2,7.474924077E-1,-1.067982244E-1,7.611807302E-1
7.137665834E-1,-1.385214159E-1,8.148806910E-1,-3.163384598E-1,8.850360131E-1
7.238205834E-1,-1.013261077E-1,8.743090135E-1,-4.244534773E-1,9.771611871E-1
7.338735833E-1,-4.912691720E-2,8.622698888E-1,-4.602208954E-1,9.786348082E-1
7.439265833E-1,6.195446581E-2,8.575014845E-1,-5.359201187E-1,1.013093049E0
7.539805833E-1,1.985821147E-1,8.478573793E-1,-6.357239038E-1,1.078165977E0
7.640335833E-1,2.981278183E-1,8.264222176E-1,-6.540321207E-1,1.095267955E0
7.740865833E-1,3.466921603E-1,8.254229285E-1,-5.763407511E-1,1.064747447E0
7.841395834E-1,3.098231267E-1,8.866650572E-1,-5.163003713E-1,1.071788863E0
7.941935834E-1,2.359775439E-1,9.510094263E-1,-5.309289354E-1,1.114445990E0
8.042465834E-1,1.706405369E-1,1.008215368E0,-5.632190144E-1,1.167403992E0
8.142995833E-1,7.418932602E-2,1.014932942E0,-5.963733119E-1,1.179514332E0
8.243525833E-1,-3.260553628E-4,9.992539255E-1,-5.918475670E-1,1.161375071E0
8.344065833E-1,5.883395299E-3,9.540626961E-1,-5.136387187E-1,1.083556632E0
8.444595833E-1,3.134334169E-2,9.828697349E-1,-4.293201149E-1,1.073000970E0
8.545125833E-1,3.937639274E-2,1.059549682E0,-4.872174901E-1,1.166866279E0
8.645655834E-1,3.684893377E-2,1.123512521E0,-6.100329924E-1,1.278975559E0
8.746195834E-1,1.292241968E-2,1.181871680E0,-7.478390014E-1,1.398660369E0
8.846725834E-1,-3.309940673E-2,1.238472143E0,-8.674256712E-1,1.512394166E0
8.947255833E-1,-7.017879389E-2,1.283542919E0,-8.535420424E-1,1.543029976E0
9.047785833E-1,-1.226419131E-1,1.338243914E0,-8.508575857E-1,1.590564819E0
9.148325833E-1,-1.522632498E-1,1.363771103E0,-7.758459949E-1,1.576385970E0
9.248855833E-1,-1.945451970E-1,1.336885898E0,-5.262786448E-1,1.449855493E0
9.349385833E-1,-2.787463450E-1,1.307051504E0,-2.177117193E-1,1.354061133E0
9.449925834E-1,-3.366292483E-1,1.312925909E0,3.197432935E-2,1.355771386E0
9.550455834E-1,-3.658018843E-1,1.340644196E0,2.522061986E-1,1.412354717E0
9.650985834E-1,-3.402283558E-1,1.451359617E0,3.767483836E-1,1.537575824E0
9.751515833E-1,-3.524182655E-1,1.610122924E0,3.396045309E-1,1.682862353E0
9.852055833E-1,-4.128141560E-1,1.774556568E0,2.627779645E-1,1.840792981E0
9.952585833E-1,-4.848805773E-1,1.898337738E0,1.661650050E-1,1.966317917E0
1.005311583E0,-5.203674021E-1,1.939841859E0,1.445770848E-1,2.013621416E0
1.015364583E0,-5.548365922E-1,1.914479561E0,1.557148612E-1,1.999330576E0
1.025418583E0,-6.183089952E-1,1.848946892E0,1.416476297E-1,1.954731356E0
1.035471583E0,-6.336032648E-1,1.765816442E0,5.834994972E-2,1.876956452E0
1.045524583E0,-5.491438162E-1,1.598613995E0,2.186531210E-1,1.704386935E0
1.055577583E0,-2.433616271E-1,1.381330584E0,5.074242979E-1,1.491569135E0
1.065631583E0,1.689602664E-1,1.268310776E0,7.591685665E-1,1.487782481E0
1.075684583E0,4.307044432E-1,1.384567457E0,7.672424018E-1,1.640485984E0
1.085737583E0,3.428354830E-1,1.460757846E0,7.491002458E-1,1.677051231E0
1.095790583E0,6.741598450E-2,1.527353393E0,7.487628615E-1,1.702351058E0
1.105844583E0,-1.634367672E-1,1.637630126E0,6.595320117E-1,1.772999290E0
1.115897583E0,-2.957208120E-1,1.572408821E0,6.658510977E-1,1.732996822E0
1.125950583E0,-3.342292587E-1,1.329554513E0,7.075440842E-1,1.542738809E0
1.136003583E0,-2.923601248E-1,9.876011556E-1,8.696365035E-1,1.347997824E0
1.146057583E0,-2.225540909E-1,5.972235701E-1,1.093953238E0,1.266072669E0
1.156110583E0,-2.281566006E-1,2.396965923E-1,1.282121900E0,1.324139893E0
1.166163583E0,-2.242580426E-1,-8.872206889E-2,1.495334771E0,1.514658164E0
1.176217583E0,-1.085675188E-1,-3.080974672E-1,1.562364913E0,1.596150079E0
1.186270583E0,-6.537260190E-3,-4.790405975E-1,1.671825959E0,1.739116059E0
1.196322417E0,5.072284162E-2,-6.587905848E-1,1.655423934E0,1.782415845E0
1.206375417E0,9.012035742E-2,-7.350745296E-1,1.481175154E0,1.656000024E0
1.216429417E0,1.055388804E-1,-6.420850897E-1,1.137965814E0,1.310869144E0
1.226482417E0,2.564683802E-2,-5.597720808E-1,6.416126347E-1,8.518622633E-1
1.236535417E0,-1.437083347E-1,-4.766272324E-1,7.949874401E-2,5.041286090E-1
1.246588417E0,-1.737848040E-1,-4.103514549E-1,-4.714621675E-1,6.487418979E-1
1.256642417E0,-1.787685321E-1,-4.151917800E-1,-8.693160760E-1,9.798228627E-1
1.266695417E0,-1.831627878E-1,-4.542190209E-1,-1.140322827E0,1.241047814E0
1.276748417E0,-1.948686942E-1,-4.815889603E-1,-1.268998409E0,1.371225254E0
1.286801417E0,-1.671167124E-1,-5.215858157E-1,-1.320803570E0,1.429860773E0
1.296855417E0,-1.357621148E-1,-5.777190860E-1,-1.317603389E0,1.445084560E0
1.306908417E0,-1.448888145E-1,-5.968877207E-1,-1.146395161E0,1.300572791E0
1.316961417E0,-2.152002671E-1,-5.292931037E-1,-9.765937722E-1,1.131458236E0
1.327014417E0,-3.213550785E-1,-4.274840891E-1,-7.671096700E-1,9.351304609E-1
1.337068417E0,-3.133978951E-1,-3.074455027E-1,-4.222274423E-1,6.091116406E-1
1.347121417E0,-2.726175128E-1,-2.261547332E-1,-9.378407657E-2,3.664174186E-1
1.357174417E0,-2.846700130E-1,-8.654412724E-2,1.190656829E-1,3.204739289E-1
1.367228417E0,-4.798055595E-1,-7.762164161E-2,1.502740270E-1,5.087443143E-1
