"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.712269071353996E9,"2024-04-04 18:17:51.354 UTC-04:00"
"PAUSE",1.506027164999978E2,1.712269221956417E9,"2024-04-04 18:20:21.956 UTC-04:00"
