"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.316517501E-1,-1.773869812E-2,4.498143718E0,-6.037619998E-1,4.538517393E0
6.417057500E-1,-4.305480301E-2,4.257389876E0,-7.935449320E-1,4.330927826E0
6.517597500E-1,-1.322932541E-1,4.013465089E0,-1.004209002E0,4.139304198E0
6.618137500E-1,-2.231531382E-1,3.854775749E0,-1.140071397E0,4.026022378E0
6.718677500E-1,-1.607990152E-1,3.811574181E0,-1.212532578E0,4.003022523E0
6.819217501E-1,-6.344872177E-2,3.803214417E0,-1.257320496E0,4.006160315E0
6.919757500E-1,1.197275877E-2,3.797013445E0,-1.231491590E0,3.991744729E0
7.020297500E-1,4.493643701E-2,3.821417969E0,-1.172521836E0,3.997506977E0
7.120837501E-1,5.304009318E-2,3.784316801E0,-1.077478854E0,3.935076566E0
7.221377500E-1,2.416771173E-2,3.732406390E0,-1.021580495E0,3.869763332E0
7.321917501E-1,-7.485371590E-2,3.665878524E0,-1.041676791E0,3.811739625E0
7.422457500E-1,-1.455003601E-1,3.618685647E0,-1.015210539E0,3.761211055E0
7.522997500E-1,-1.087511945E-1,3.602517511E0,-9.206405962E-1,3.719884184E0
7.623537501E-1,-3.622817874E-2,3.459001696E0,-8.942247762E-1,3.572904023E0
7.724077500E-1,2.874081910E-2,3.234436455E0,-9.046538700E-1,3.358690792E0
7.824617500E-1,-8.833330214E-2,2.959330221E0,-9.383051808E-1,3.105777639E0
7.925157500E-1,-4.094518608E-1,2.679011779E0,-9.274849083E-1,2.864434184E0
8.025697500E-1,-6.493023080E-1,2.484393638E0,-9.143156630E-1,2.725761979E0
8.126237501E-1,-7.018097198E-1,2.451833417E0,-8.408817972E-1,2.685350291E0
8.226777500E-1,-6.605570287E-1,2.520118371E0,-7.452118474E-1,2.709736683E0
8.327317500E-1,-6.840359384E-1,2.527560123E0,-6.282751358E-1,2.692804297E0
8.427857501E-1,-8.176372147E-1,2.404635862E0,-5.219886889E-1,2.592928159E0
8.528397500E-1,-9.926671833E-1,2.234970129E0,-4.900691772E-1,2.494122574E0
8.628937501E-1,-1.223609982E0,2.059941330E0,-4.305189402E-1,2.434322540E0
8.729477500E-1,-1.537279188E0,1.856275207E0,-2.843604760E-1,2.426900457E0
8.830017500E-1,-1.817837951E0,1.612728735E0,-4.968978480E-2,2.430616766E0
8.930557501E-1,-2.056959835E0,1.310356935E0,1.404208839E-1,2.442915693E0
9.031097500E-1,-2.226616212E0,9.872433060E-1,4.476499665E-1,2.476461103E0
9.131637501E-1,-2.230704585E0,7.441558403E-1,6.845392375E-1,2.449164108E0
9.232177500E-1,-2.020160383E0,5.594130617E-1,9.143238491E-1,2.286914744E0
9.332717500E-1,-1.786865834E0,3.420071518E-1,1.097391547E0,2.124647408E0
9.433257501E-1,-1.610202738E0,9.033889711E-2,1.188893893E0,2.003592439E0
9.533797500E-1,-1.541171679E0,-1.822682369E-1,1.183137894E0,1.951473067E0
9.634337500E-1,-1.559431365E0,-4.570935121E-1,1.077020286E0,1.949546962E0
9.734877500E-1,-1.559361198E0,-7.319547477E-1,9.089828561E-1,1.947720445E0
9.835417500E-1,-1.569321930E0,-1.015606687E0,7.056963640E-1,1.998057962E0
9.935957501E-1,-1.596199826E0,-1.249015549E0,4.226624751E-1,2.070395444E0
1.003649750E0,-1.561879009E0,-1.367812553E0,1.098605575E-1,2.079049437E0
1.013703750E0,-1.528104907E0,-1.426637004E0,-2.314620316E-1,2.103324136E0
1.023757750E0,-1.545623749E0,-1.453557293E0,-5.546154213E-1,2.193029832E0
1.033811750E0,-1.523497301E0,-1.466108633E0,-7.424757890E-1,2.240934815E0
1.043865750E0,-1.404217610E0,-1.432952874E0,-8.969511867E-1,2.197658405E0
1.053919750E0,-1.230550042E0,-1.355635434E0,-1.011055653E0,2.091467038E0
1.063973750E0,-1.063982164E0,-1.301909462E0,-1.065846988E0,1.990742599E0
1.074027750E0,-1.012262957E0,-1.340521551E0,-1.027565120E0,1.969153219E0
1.084081750E0,-9.383693540E-1,-1.420365865E0,-9.027675582E-1,1.926905680E0
1.094135750E0,-8.456231582E-1,-1.511999921E0,-8.597418451E-1,1.934005772E0
1.104189750E0,-7.942097604E-1,-1.606929321E0,-8.361347352E-1,1.977906034E0
1.114243750E0,-7.414006323E-1,-1.668936411E0,-7.938209206E-1,1.991274792E0
1.124297750E0,-6.537520391E-1,-1.728376428E0,-7.005882365E-1,1.976233965E0
1.134351750E0,-5.397050214E-1,-1.778585007E0,-5.822617878E-1,1.947735846E0
1.144405750E0,-5.123078924E-1,-1.887666131E0,-4.550807543E-1,2.008193539E0
1.154459750E0,-3.955612153E-1,-2.018391016E0,-4.747402628E-1,2.110864582E0
1.164513750E0,-1.677209491E-1,-2.049474960E0,-6.193745041E-1,2.147580663E0
1.174567750E0,1.565299630E-3,-1.961230974E0,-8.263238382E-1,2.128201229E0
1.184621750E0,1.510078526E-1,-1.821002171E0,-1.078922531E0,2.122009922E0
1.194675750E0,2.944447303E-1,-1.754621802E0,-1.250181192E0,2.174476576E0
1.204729750E0,4.013406032E-1,-1.732562158E0,-1.283439277E0,2.193185420E0
1.214783750E0,4.011365354E-1,-1.717052126E0,-1.151568192E0,2.106012304E0
1.224837750E0,4.359999740E-1,-1.749807497E0,-9.585092112E-1,2.042219910E0
1.234891750E0,5.413287932E-1,-1.740328868E0,-8.388690394E-1,2.006360560E0
